Adobe After Effects 8.0 Keyframe Data

	Units Per Second	12.5
	Source Width	1
	Source Height	1
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Transform	Rotation
	Frame	degrees	
	88	506.043	655.846	0	
	89	511.567	666.962	0	
	90	517.09	684.479	0	
	91	526.092	690.103	0	
	92	526.092	690.103	0	
	93	526.866	688.126	0	
	94	528.838	683.089	0	
	95	531.66	675.883	0	
	96	535.122	667.042	0	
	97	539.069	656.96	0	
	98	543.395	645.914	0	
	99	547.998	634.159	0	
	100	552.766	621.982	0	
	101	557.542	609.784	0	
	102	561.847	598.79	0	
	103	597.603	513.877	0	
	104	633.358	435.364	0	
	105	669.113	363.252	0	
	106	704.869	297.539	0	
	107	749.001	275.792	0	
	108	792.266	259.782	0	
	109	794.289	253.591	0	
	110	783.876	255.288	0	
	111	773.464	263.384	0	
	112	763.051	277.88	0	
	113	752.638	298.777	0	
	114	742.224	326.073	0	
	115	731.812	359.77	0	
	116	721.399	399.866	0	
	117	710.986	446.363	0	
	118	692.655	482.929	0	
	119	666.406	509.564	0	
	120	640.157	542.599	0	
	121	613.909	582.035	0	
	122	586.474	626.386	0	
	123	554.721	667.268	0	
	124	527.896	687.906	0	
	125	513.505	668.26	0	
	126	499.114	655.015	0	
	127	500.741	660.457	0	
	128	502.368	672.3	0	
	129	506.032	681.773	0	
	130	512.385	683.73	0	
	131	519.366	689.782	0	
	132	527.956	693.68	0	
	133	532.457	693.356	0	
	134	531.674	693.064	0	
	135	531.674	693.064	0	
	136	532.622	690.982	0	
	137	535.067	685.609	0	
	138	538.595	677.855	0	
	139	542.956	668.273	0	
	140	547.971	657.252	0	
	141	553.492	645.121	0	
	142	559.417	632.102	0	
	143	565.633	618.442	0	
	144	572.008	604.434	0	
	145	578.338	590.524	0	
	146	584.021	578.036	0	
	147	610.194	523.723	0	
	148	636.368	469.408	0	
	149	662.542	418.294	0	
	150	688.715	367.18	0	
	151	741.062	271.352	0	
	152	793.409	181.924	0	
	153	845.756	98.8964	0	
	154	898.103	22.2684	0	
	155	950.45	-47.9595	0	
	156	1402.8	-231.788	0	
	157	1402.8	-231.788	0	
	158	1402.8	-231.788	0	
	159	1402.8	-231.788	0	
	160	1402.8	-231.788	0	
	161	1402.8	-231.788	0	
	162	1402.8	-231.788	0	
	163	1402.8	-231.788	0	
	164	1402.8	-231.788	0	
	165	1402.8	-231.788	0	
	166	1402.8	-231.788	0	
	167	1402.8	-231.788	0	
	168	1402.8	-231.788	0	
	169	1402.8	-231.788	0	
	170	1402.8	-231.788	0	
	171	1402.8	-231.788	0	
	172	1402.8	-231.788	0	
	173	1402.8	-231.788	0	
	174	1402.8	-231.788	0	
	175	1402.8	-231.788	0	
	176	1402.8	-231.788	0	
	177	1402.8	-231.788	0	
	178	1402.8	-231.788	0	
	179	1402.8	-231.788	0	
	180	1402.8	-231.788	0	
	181	1402.8	-231.788	0	
	182	1402.8	-231.788	0	
	183	1402.8	-231.788	0	
	184	1402.8	-231.788	0	
	185	1402.8	-231.788	0	
	186	1402.8	-231.788	0	
	187	1402.8	-231.788	0	
	188	1402.8	-231.788	0	
	189	1402.8	-231.788	0	
	190	1402.8	-231.788	0	
	191	1402.8	-231.788	0	
	192	1402.8	-231.788	0	
	193	1953.08	-49.2583	0	
	194	1943.68	0.233307	0	
	195	1926.49	41.364	0	
	196	1895.27	59.7056	0	
	197	1864.05	84.4471	0	
	198	1846.04	106.243	0	
	199	1869.8	103.727	0	
	200	1882.13	100.041	0	
	201	1876.11	90.8274	0	
	202	1870.08	88.0138	0	
	203	1864.05	91.6001	0	
	204	1858.02	101.586	0	
	205	1851.99	117.973	0	
	206	1856.09	134.264	0	
	207	1866.69	150.335	0	
	208	1866.54	170.696	0	
	209	1878.14	185.392	0	
	210	1889.73	206.487	0	
	211	1901.32	233.982	0	
	212	1912.92	267.878	0	
	213	1931.4	298.466	0	
	214	1952.21	331.133	0	
	215	1973.03	370.199	0	
	216	1995.23	414.319	0	
	217	2025.34	452.911	0	
	218	2061.89	488.446	0	
	219	2087.16	517.254	0	
	220	2065.3	495.84	0	
	221	2046.32	479.59	0	
	222	2035.73	467.834	0	
	223	2029.68	461.119	0	
	224	2026.3	457.359	0	
	225	2025.02	455.934	0	
	226	2025.85	456.845	0	
	227	2028.78	460.091	0	
	228	2033.83	465.672	0	
	229	2040.98	473.588	0	
	230	2050.24	483.839	0	
	231	2061.61	496.424	0	
	232	2075.1	511.344	0	
	233	2087.23	524.37	0	
	234	2080.06	516.212	0	
	235	2077.35	513.213	0	
	236	2077.7	513.6	0	
	237	2080.17	516.333	0	
	238	2084.76	521.414	0	
	239	2087.11	523.758	0	
	240	2085.09	522.332	0	
	241	2086.33	523.707	0	
	242	2088.33	525.614	0	
	243	2088.33	525.614	0	
	244	2089.34	523.78	0	
	245	2091.86	519.249	0	
	246	2095.37	512.912	0	
	247	2099.59	505.3	0	
	248	2104.33	496.761	0	
	249	2109.41	487.613	0	
	250	2114.61	478.227	0	
	251	2119.38	469.643	0	
	252	2134.9	444.858	0	
	253	2150.42	420.073	0	
	254	2165.95	398.487	0	
	255	2181.47	376.902	0	
	256	2212.52	340.132	0	
	257	2243.57	309.761	0	
	258	2274.62	285.791	0	
	259	2305.67	268.22	0	
	260	2336.72	257.05	0	
	261	2367.77	252.279	0	
	262	2398.82	253.909	0	
	263	2429.87	261.938	0	
	264	2460.92	276.368	0	
	265	2491.97	297.197	0	
	266	2523.02	324.427	0	
	267	2554.07	358.056	0	
	268	2585.12	398.086	0	
	269	2618.97	422.507	0	
	270	2653.6	441.017	0	
	271	2688.24	465.926	0	
	272	2722.88	497.236	0	
	273	2759.03	531.467	0	
	274	2800.14	557.026	0	
	275	2835.35	566.772	0	
	276	2857.17	531.654	0	
	277	2878.98	502.937	0	
	278	2900.8	480.619	0	
	279	2922.62	464.702	0	
	280	2944.44	455.184	0	
	281	2966.26	452.067	0	
	282	2988.08	455.349	0	
	283	3009.89	465.032	0	
	284	3031.71	481.115	0	
	285	3053.53	503.597	0	
	286	3075.35	532.48	0	
	287	3097.17	567.762	0	
	288	3118.99	609.445	0	
	289	3154.36	603.066	0	
	290	3192.42	592.372	0	
	291	3230.47	588.078	0	
	292	3264.47	578.893	0	
	293	3296.16	569.97	0	
	294	3327.84	567.447	0	
	295	3359.53	571.323	0	
	296	3391.22	581.6	0	
	297	3416.79	589.987	0	
	298	3413.83	564.772	0	
	299	3410.88	545.957	0	
	300	3407.92	533.542	0	
	301	3404.97	527.527	0	
	302	3402.01	527.912	0	
	303	3399.06	534.697	0	
	304	3396.1	547.882	0	
	305	3393.15	567.468	0	
	306	3390.19	593.453	0	
	307	3387.1	623.049	0	
	308	3390.56	606.028	0	
	309	3394.01	595.406	0	
	310	3397.47	591.185	0	
	311	3400.92	593.364	0	
	312	3404.38	601.942	0	
	313	3400.76	605.273	0	
	314	3393.72	608.753	0	
	315	3386.68	618.633	0	
	316	3390.55	618.631	0	
	317	3394.89	616.14	0	
	318	3395.69	615.37	0	
	319	3394.37	616.632	0	
	320	3390.93	619.927	0	
	321	3386.92	622.651	0	
	322	3387.4	620.738	0	
	323	3387.16	623.615	0	
	324	3387.15	623.599	0	
	325	3387.15	623.599	0	
	326	3387.15	621.088	0	
	327	3387.15	614.687	0	
	328	3387.15	605.529	0	
	329	3387.15	594.311	0	
	330	3387.15	581.497	0	
	331	3387.15	567.463	0	
	332	3387.15	552.53	0	
	333	3387.15	537.05	0	
	334	3387.15	521.566	0	
	335	3387.15	507.599	0	
	336	3387.15	503.922	0	
	337	3387.15	502.891	0	
	338	3387.15	506.568	0	
	339	3387.15	510.245	0	
	340	3387.15	513.91	0	
	341	3387.15	517.599	0	
	342	3387.15	516.804	0	
	343	3387.15	515.672	0	
	344	3387.15	514.684	0	
	345	3387.15	513.937	0	
	346	3387.15	513.599	0	
	347	3387.15	513.599	0	
	348	3424.97	492.737	0	
	349	3462.8	478.276	0	
	350	3500.63	470.215	0	
	351	3538.45	468.554	0	
	352	3576.28	473.292	0	
	353	3614.11	484.431	0	
	354	3651.93	501.97	0	
	355	3689.76	525.908	0	
	356	3727.58	556.247	0	
	357	3765.41	592.986	0	
	358	3803.58	634.092	0	
	359	3842.23	632.43	0	
	360	3880.87	637.167	0	
	361	3919.51	648.304	0	
	362	3957.6	642.448	0	
	363	3995.69	642.992	0	
	364	4033.78	649.937	0	
	365	4071.87	663.281	0	
	366	4109.96	683.025	0	
	367	4148.04	709.169	0	
	368	4186.13	741.713	0	
	369	4224.22	780.657	0	
	370	4224.22	780.657	0	
	371	4224.22	780.657	0	


End of Keyframe Data
